regime,time,max_abs_u_x,max_abs_u_xx,spectral_max_abs_u_x,spectral_max_abs_u_xx
shock,0.032000000000000015,4.0244699750103194,13.608400518449402,4.030358252643437,13.631546796966024
shock,0.034000000000000016,4.054496267469798,13.657807058569613,4.0605934703178805,13.681223995067702
shock,0.03600000000000002,4.084905751396722,13.708463146069228,4.091215178405213,13.732127369290339
shock,0.03800000000000002,4.115703494904462,13.76039344500029,4.122229641023636,13.784287741324608
shock,0.04000000000000002,4.146894551086591,13.813622821495292,4.153642902971208,13.837734836565804
shock,0.04200000000000002,4.178483950173378,13.877379176249427,4.185460832189238,13.90551664838274
shock,0.044000000000000025,4.210476691077152,13.951361595629445,4.217689149913949,13.979942916779294
shock,0.04600000000000003,4.242877732291769,14.026759881083574,4.250333451190162,14.055809367382324
shock,0.04800000000000003,4.275691982110024,14.103593036944002,4.283399217790818,14.133135009847738
shock,0.05000000000000003,4.308924288121585,14.181879052120674,4.3168918251025685,14.211938318091171
shock,0.05200000000000003,4.3425794259526445,14.261634877706932,4.350816544163533,14.292237086433536
shock,0.054000000000000034,4.376662087207274,14.342876418186446,4.385178539753793,14.374048325170342
shock,0.056000000000000036,4.411176866569166,14.425618535442995,4.419982865216094,14.45738818898096
shock,0.05800000000000004,4.446128248021304,14.509875064532025,4.455234454515671,14.542271932886576
shock,0.06000000000000004,4.4815205901399535,14.595658839984528,4.49093811191534,14.628713891206168
shock,0.06200000000000004,4.5173581104183675,14.682981731277849,4.527098499541986,14.716727475659557
shock,0.06400000000000004,4.553644868574612,14.771854686025769,4.563720123041525,14.806325189283609
shock,0.06600000000000004,4.59038474879715,14.862287779393164,4.600807315460137,14.897518653176352
shock,0.06800000000000005,4.62896059194637,15.017470585332456,4.63904182705649,15.049101987585306
shock,0.07000000000000005,4.6683138216693285,15.238835049711579,4.678756814177799,15.270803448741141
shock,0.07200000000000005,4.7082439494490895,15.456398886612812,4.719063744009753,15.488626932315327
shock,0.07400000000000005,4.7487604066749896,15.669795958225414,4.759972701924412,15.70220133082056
shock,0.07600000000000005,4.789872682829803,15.878660160976825,4.801493861073997,15.911155748728302
shock,0.07800000000000006,4.8315903160692235,16.09303354025817,4.843637473403433,16.13352202187942
shock,0.08000000000000006,4.87392288289497,16.362439568778914,4.88641385984381,16.403507084604865
shock,0.08200000000000006,4.916879986864686,16.628747050475532,4.929833399598815,16.67030135011509
shock,0.08400000000000006,4.960471246279421,16.891522419397244,4.973906518439446,16.933463978777105
